Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],average
Peru,PER,Surface area (sq. km),AG.SRF.TOTL.K2,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220
Qatar,QAT,"Population, total",SP.POP.TOTL,645937,678831,713186,748525,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2637005.9
Qatar,QAT,Population density (people per sq. km of land area),EN.POP.DNST,55.6362618432386,58.4695090439277,61.4285960378984,64.4724375538329,67.0062876830319,73.1016365202412,87.4298018949182,106.106201550388,124.39939707149,138.697157622739,147.588630490956,155.398018949182,164.139534883721,175.323083548665,192.729765013055,210.145604873803,225.863011314186,236.01000870322,240.794778067885,244.319843342037,240.242384682332,233.963011314186,228.008550913838
Qatar,QAT,Surface area (sq. km),AG.SRF.TOTL.K2,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11490,11490,11490,11490,11490,11490,11490,11490,11490
Russian Federation,RUS,"Population, total",SP.POP.TOTL,146596869,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785348,142849468,143018195,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144809302.9
Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,8.94901570933758,8.91163375342787,8.87046146313948,8.83027865243716,8.79465803239439,8.76108889416588,8.73439418381291,8.71946397976766,8.71609568861449,8.71872024385612,8.72263552192818,8.73293828429975,8.75493589434367,8.78102091547408,8.80737424184231,8.8320122221157,8.85489473873823,8.87185768709161,8.87825976514438,8.88162945666663,8.86891988517952,8.83848757424343,8.85417944637773
Russian Federation,RUS,Surface area (sq. km),AG.SRF.TOTL.K2,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250
Tanzania,TZA,"Population, total",SP.POP.TOTL,34463704,35414469,36353531,37333918,38360879,39439505,40562052,41716497,42870884,43957933,45110527,46416031,47786137,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,59021793.7
Tanzania,TZA,Population density (people per sq. km of land area),EN.POP.DNST,38.9068683675773,39.9802088507564,41.0403375479792,42.147118988485,43.3064788891398,44.5241645969745,45.7914337322195,47.0947132535561,48.3979272973583,49.6251219236848,50.9263118085347,52.4001253104538,53.9468694965003,55.6035707834726,57.3657168661097,59.3168017611199,61.4154459245879,63.5211469857756,65.5796376157146,67.5915319485211,69.6596500338677,71.7863332580718,64.529533049221
Tanzania,TZA,Surface area (sq. km),AG.SRF.TOTL.K2,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300
